School,OppMP,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
Abilene Christian,1375,888,1923,.462,199,613,.325,525,766,.685,342,1251,420,227,113,495,642
Air Force,1250,774,1631,.475,219,598,.366,476,637,.747,297,1016,386,178,96,348,495
Akron NCAA,1405,853,1985,.430,224,738,.304,386,561,.688,309,1134,391,205,87,404,599
Alabama NCAA,1490,1028,2351,.437,277,873,.317,673,912,.738,446,1324,472,273,163,418,739
Alabama A&M,1405,856,2010,.426,261,742,.352,680,908,.749,415,1258,463,331,114,492,701
Alabama State,1303,721,1751,.412,245,726,.337,534,736,.726,317,1260,385,196,152,468,514
Albany (NY),1285,907,1944,.467,167,576,.290,540,744,.726,323,1152,420,235,149,415,499
Alcorn State,1285,841,1818,.463,311,828,.376,484,666,.727,316,1028,500,203,129,378,572
American,1291,776,1706,.455,272,733,.371,352,508,.693,255,979,403,160,78,345,515
Appalachian State,1390,865,2225,.389,226,732,.309,327,472,.693,393,1236,349,234,84,356,556
Arizona NCAA,1465,949,2252,.421,281,853,.329,415,583,.712,323,1175,496,250,132,483,684
Arizona State,1285,850,1887,.450,251,740,.339,417,589,.708,338,1298,490,186,85,439,535
Arkansas,1340,909,2039,.446,236,696,.339,579,796,.727,366,1200,428,213,96,365,685
Arkansas State,1485,1023,2234,.458,212,602,.352,592,778,.761,377,1304,414,258,158,369,610
Arkansas-Pine Bluff,1240,915,2011,.455,234,768,.305,472,657,.718,374,1188,510,222,104,362,561
Army,1295,734,1712,.429,221,679,.325,370,526,.703,266,1086,413,224,95,348,478
Auburn NCAA,1400,784,2029,.386,205,678,.302,618,842,.734,403,1206,335,233,113,449,665
Austin Peay,1425,910,1967,.463,230,713,.323,511,721,.709,360,1241,423,151,119,400,557
Ball State,1255,811,1821,.445,220,643,.342,358,505,.709,298,1044,383,196,95,369,591
Baylor NCAA,1430,904,1987,.455,238,708,.336,443,603,.735,308,1023,479,244,120,414,665
Bellarmine,1250,818,1813,.451,279,800,.349,405,551,.735,298,1135,416,145,94,315,423
Belmont,1325,914,2067,.442,269,827,.325,396,549,.721,337,1194,492,222,97,398,541
Bethune-Cookman,1375,806,1869,.431,225,669,.336,630,886,.711,377,1213,470,284,101,562,606
Binghamton,1210,754,1790,.421,233,691,.337,426,585,.728,275,999,327,203,132,281,513
Boise State NCAA,1330,796,1818,.438,208,671,.310,421,580,.726,242,984,386,190,123,377,576
Boston College,1450,932,2121,.439,277,801,.346,446,595,.750,333,1235,476,225,123,386,541
Boston University,1335,758,1777,.427,247,718,.344,433,630,.687,253,1099,381,215,97,376,520
Bowling Green State,1385,899,2028,.443,254,700,.363,362,533,.679,301,1182,421,213,125,405,610
Bradley,1415,804,1955,.411,245,749,.327,495,688,.719,343,1156,398,234,72,438,539
Brigham Young NCAA,1360,856,2003,.427,218,681,.320,448,641,.699,306,1136,405,206,80,381,520
Brown,1261,801,1797,.446,226,687,.329,399,573,.696,290,1073,411,210,100,369,549
Bryant,1330,874,2204,.397,242,773,.313,498,714,.697,425,1401,405,242,107,416,568
