School,OppMP,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
Abilene Christian,40.4,26.1,56.6,0.462,5.85,18,0.325,15.4,22.5,0.685,10.1,36.8,12.4,6.68,3.32,14.6,18.9
Air Force,40.3,25,52.6,0.475,7.06,19.3,0.366,15.4,20.5,0.747,9.58,32.8,12.5,5.74,3.1,11.2,16
Akron NCAA,40.1,24.4,56.7,0.43,6.4,21.1,0.304,11,16,0.688,8.83,32.4,11.2,5.86,2.49,11.5,17.1
Alabama NCAA,40.3,27.8,63.5,0.437,7.49,23.6,0.317,18.2,24.6,0.738,12.1,35.8,12.8,7.38,4.41,11.3,20
Alabama A&M,40.1,24.5,57.4,0.426,7.46,21.2,0.352,19.4,25.9,0.749,11.9,35.9,13.2,9.46,3.26,14.1,20
Alabama State,40.7,22.5,54.7,0.412,7.66,22.7,0.337,16.7,23,0.726,9.91,39.4,12,6.13,4.75,14.6,16.1
Albany (NY),40.2,28.3,60.8,0.467,5.22,18,0.29,16.9,23.3,0.726,10.1,36,13.1,7.34,4.66,13,15.6
Alcorn State,40.2,26.3,56.8,0.463,9.72,25.9,0.376,15.1,20.8,0.727,9.88,32.1,15.6,6.34,4.03,11.8,17.9
American,40.3,24.3,53.3,0.455,8.5,22.9,0.371,11,15.9,0.693,7.97,30.6,12.6,5,2.44,10.8,16.1
Appalachian State,40.9,25.4,65.4,0.389,6.65,21.5,0.309,9.62,13.9,0.693,11.6,36.4,10.3,6.88,2.47,10.5,16.4
Arizona NCAA,40.7,26.4,62.6,0.421,7.81,23.7,0.329,11.5,16.2,0.712,8.97,32.6,13.8,6.94,3.67,13.4,19
Arizona State,40.2,26.6,59,0.45,7.84,23.1,0.339,13,18.4,0.708,10.6,40.6,15.3,5.81,2.66,13.7,16.7
Arkansas,40.6,27.5,61.8,0.446,7.15,21.1,0.339,17.5,24.1,0.727,11.1,36.4,13,6.45,2.91,11.1,20.8
Arkansas State,40.1,27.6,60.4,0.458,5.73,16.3,0.352,16,21,0.761,10.2,35.2,11.2,6.97,4.27,9.97,16.5
Arkansas-Pine Bluff,40,29.5,64.9,0.455,7.55,24.8,0.305,15.2,21.2,0.718,12.1,38.3,16.5,7.16,3.35,11.7,18.1
Army,40.5,22.9,53.5,0.429,6.91,21.2,0.325,11.6,16.4,0.703,8.31,33.9,12.9,7,2.97,10.9,14.9
Auburn NCAA,40,22.4,58,0.386,5.86,19.4,0.302,17.7,24.1,0.734,11.5,34.5,9.57,6.66,3.23,12.8,19
Austin Peay,40.7,26,56.2,0.463,6.57,20.4,0.323,14.6,20.6,0.709,10.3,35.5,12.1,4.31,3.4,11.4,15.9
Ball State,40.5,26.2,58.7,0.445,7.1,20.7,0.342,11.5,16.3,0.709,9.61,33.7,12.4,6.32,3.06,11.9,19.1
Baylor NCAA,40.9,25.8,56.8,0.455,6.8,20.2,0.336,12.7,17.2,0.735,8.8,29.2,13.7,6.97,3.43,11.8,19
Bellarmine,40.3,26.4,58.5,0.451,9,25.8,0.349,13.1,17.8,0.735,9.61,36.6,13.4,4.68,3.03,10.2,13.6
Belmont,40.2,27.7,62.6,0.442,8.15,25.1,0.325,12,16.6,0.721,10.2,36.2,14.9,6.73,2.94,12.1,16.4
Bethune-Cookman,40.4,23.7,55,0.431,6.62,19.7,0.336,18.5,26.1,0.711,11.1,35.7,13.8,8.35,2.97,16.5,17.8
Binghamton,40.3,25.1,59.7,0.421,7.77,23,0.337,14.2,19.5,0.728,9.17,33.3,10.9,6.77,4.4,9.37,17.1
Boise State NCAA,40.3,24.1,55.1,0.438,6.3,20.3,0.31,12.8,17.6,0.726,7.33,29.8,11.7,5.76,3.73,11.4,17.5
Boston College,40.3,25.9,58.9,0.439,7.69,22.3,0.346,12.4,16.5,0.75,9.25,34.3,13.2,6.25,3.42,10.7,15
Boston University,40.5,23,53.8,0.427,7.48,21.8,0.344,13.1,19.1,0.687,7.67,33.3,11.5,6.52,2.94,11.4,15.8
Bowling Green State,40.7,26.4,59.6,0.443,7.47,20.6,0.363,10.6,15.7,0.679,8.85,34.8,12.4,6.26,3.68,11.9,17.9
Bradley,40.4,23,55.9,0.411,7,21.4,0.327,14.1,19.7,0.719,9.8,33,11.4,6.69,2.06,12.5,15.4
Brigham Young NCAA,40,25.2,58.9,0.427,6.41,20,0.32,13.2,18.9,0.699,9,33.4,11.9,6.06,2.35,11.2,15.3
Brown,40.7,25.8,58,0.446,7.29,22.2,0.329,12.9,18.5,0.696,9.35,34.6,13.3,6.77,3.23,11.9,17.7
Bryant,40.3,26.5,66.8,0.397,7.33,23.4,0.313,15.1,21.6,0.697,12.9,42.5,12.3,7.33,3.24,12.6,17.2
Bucknell,40.5,23.7,55.5,0.427,7.58,23.4,0.324,12.3,17.5,0.702,9.7,33.7,14.2,6.36,3.15,10.7,16.2
Buffalo,40.2,29.5,62.1,0.474,8.06,22.2,0.363,12.7,17.8,0.714,10.6,36.8,15.7,7.68,2.94,10.7,14.7
Butler,40.9,27.9,63.5,0.44,7.61,23.5,0.323,10.3,13.9,0.739,10.6,36,13.6,7.27,4.12,11.5,15.3
Cal Poly,40.5,25.5,55.6,0.46,5.97,17,0.352,17.1,23.3,0.734,11.3,38.5,11.9,6.47,3.19,11.9,17.6
Cal State Bakersfield,40.5,22.6,52.3,0.431,6.5,19.1,0.34,17.6,24.3,0.723,10.2,33.4,11.6,5.75,3.28,13.2,17.2
Cal State Fullerton,40.2,24.2,55.9,0.432,6.81,21.5,0.317,14,19.5,0.717,10,35.5,12.3,6.22,2.66,12.6,18.5
Cal State Northridge,40.1,24.3,59.9,0.405,8.65,26.7,0.324,16.4,22.5,0.732,10.1,34.9,14.2,7.97,3.44,13.4,19.3
California,40.9,27.3,60.9,0.448,7.88,22.1,0.357,14.6,20.2,0.723,9.63,36.4,12.8,5.91,3.56,10.5,16.2
California Baptist,40.3,24.7,56.2,0.44,5.18,15.4,0.337,11.9,16.6,0.72,8.06,32.5,11.4,5.88,3.52,10.2,18.4
Campbell,40.5,26.5,60.3,0.44,8.59,25.8,0.333,10.4,14.6,0.715,10.9,34.8,13.7,6.56,3.25,11.8,16.7
Canisius,40.3,27,59.8,0.452,6.38,18.8,0.339,11.7,16.6,0.708,10,33.8,13.8,6.78,2.84,11.3,15.4
Central Arkansas,40.2,27.2,60.4,0.45,9.44,25.4,0.372,14.4,19.9,0.724,10.7,37.2,13.1,7.63,3.13,11.5,15.8
Central Connecticut State,40.3,24.6,58.4,0.422,6.94,20.5,0.339,10.3,15.3,0.671,9.74,33.9,13.5,6.74,3.16,12.8,15.7
Central Michigan,41.1,24.5,59.9,0.409,7.63,24.4,0.313,13.4,18.2,0.739,11.4,37.7,13,5.81,3.38,11.2,15.5
Charleston Southern,40,27,59.8,0.451,5.83,18.8,0.311,13.9,19.6,0.709,10.2,36.2,11.7,6.23,2.73,9.5,15.7
Charlotte,40.3,23.6,55.3,0.426,6.39,20.3,0.315,12.1,17.1,0.707,9.84,32.9,10.9,5.74,2.68,10,16.3
Chattanooga,40.5,25.8,61.8,0.417,8.85,26.1,0.34,11.2,16.5,0.674,10.8,34.3,12.4,6.55,2.7,10.4,16.1
Chicago State,40.2,25.8,55.9,0.462,6.25,19.3,0.324,12.6,18.8,0.672,11.3,34.7,12.8,7,2.91,14.4,17.1
Cincinnati,40.5,24.3,58.1,0.419,6.78,20.2,0.336,12.7,16.9,0.752,8.86,32.2,13,6.68,3.59,12,15.7
Clemson NCAA,40.3,24.6,59.4,0.414,8.08,24.4,0.331,13.9,19.1,0.732,9.86,34.1,11,6.06,2.5,9.47,15.9
Cleveland State,40.3,25.8,56.9,0.454,6.5,21.8,0.298,14.7,20.9,0.706,11.8,36.7,13,5.42,3.08,13.8,16.7
Coastal Carolina,40.3,27.6,65.6,0.421,9.94,30.2,0.329,13.4,19.4,0.688,12.3,37.8,15.4,8.48,3.48,9.45,16.5
Colgate NCAA,40,23.8,57.7,0.413,7.11,23.2,0.307,9.29,13.9,0.67,8.91,33,12.7,5.66,2.46,11.2,14.3
College of Charleston NCAA,40.1,26.8,60.3,0.445,7.69,22.4,0.343,12.2,17.4,0.704,9.34,35.1,11.6,6.11,3.29,11.5,16.5
Colorado NCAA,40.4,26.6,60.4,0.44,6.81,21.3,0.32,11.7,16.5,0.711,8.92,30.2,11.6,7.35,3.68,10.6,17.8
Colorado State NCAA,40.3,24,56.4,0.426,6.11,19,0.322,13.1,17.7,0.741,9.25,32.8,11.3,5.42,2.78,11.5,16.8
Columbia,40,26.3,59.9,0.439,8.37,25.7,0.325,11.6,16.1,0.719,9.96,33.4,15,6.3,4,12.4,15.5
Connecticut NCAA,40,22.4,57,0.392,5.85,18.7,0.312,12.8,17.7,0.725,9.88,30.1,10,5.35,2.95,10.6,16.6
Coppin State,40.3,24.9,55.6,0.448,7.21,20.9,0.345,15.8,21.3,0.739,12.8,39.1,14.6,8.93,3.38,14.9,15.7
Cornell,40,26.9,60.9,0.441,8.43,25.3,0.333,12.5,19.5,0.643,11.6,35.6,14.3,6.7,2.97,13.4,15.8
Creighton NCAA,41,27.8,66.4,0.418,5.97,18.5,0.323,8.37,10.6,0.788,9.86,33.6,11.5,6,2.83,7.6,14.8
Dartmouth,40,26.6,58.7,0.454,9.07,24.9,0.364,9.52,13.5,0.706,8.15,34.7,14.1,7.7,2.81,9.33,16
Davidson,40.6,23.8,56.2,0.423,7.88,23.6,0.333,12.5,18.1,0.69,9.66,35.3,12.7,6.25,3.28,11.7,17.3
Dayton NCAA,40.2,24.7,59,0.419,7.58,23.7,0.32,9.42,12.9,0.728,10.2,32.8,12.6,5.91,3.03,10.4,16.6
Delaware,40.2,25.7,60.3,0.426,6.79,21.9,0.31,11.5,16.2,0.707,10.2,34.4,11.8,6.36,3.79,10.1,15.5
