School,W-L%,TmPts,OppPts,TmMP,TmFG,TmFGA,TmFG%,Tm3P,Tm3PA,Tm3P%,TmFT,TmFTA,TmFT%,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF
Abilene Christian,0.471,72.1,73.5,40.4,25.3,58.4,0.433,5.29,15.6,0.34,16.2,22.3,0.727,9.68,33.5,12.7,7.71,2.12,12.8,19.6
Air Force,0.29,66.2,72.4,40.3,23.5,51.7,0.453,8.81,24.4,0.361,10.5,15.3,0.682,7.26,28.1,14.5,6.52,3.94,12,17.5
Akron NCAA,0.686,73.6,66.2,40.1,26.1,57.7,0.453,8,24.7,0.324,13.3,18.3,0.727,10.4,36.5,13,5.63,2.86,11.3,16.7
Alabama NCAA,0.676,90.1,81.2,40.3,30.7,64.5,0.476,11.2,29.9,0.373,17.6,22.8,0.772,12.8,39.6,15.9,6.92,4.38,11.8,19.8
Alabama A&M,0.343,69,75.8,40.1,23,54.8,0.42,4.23,14.7,0.287,18.7,25.9,0.722,11.3,35.7,10.5,7.46,3.89,16.1,20.8
Alabama State,0.406,68.6,69.4,40.7,24.1,65.2,0.37,6.97,24.8,0.281,13.4,18.5,0.723,14.2,39.5,10.8,8.66,3.84,11.3,19
Albany (NY),0.406,78.7,78.8,40.2,28.7,64.3,0.446,7.81,23.7,0.33,13.5,18.6,0.726,11.4,36,12.8,8.31,3.16,13.3,19.4
Alcorn State,0.438,71.9,77.4,40.2,25.6,57.8,0.442,5.19,15.4,0.337,15.6,21.8,0.712,11.3,33.9,11.6,6.88,1.75,11.6,17.7
American,0.5,68.8,68,40.3,24.4,54.4,0.449,8.72,24.8,0.351,11.1,15.4,0.722,8.97,32.6,14,5.81,1.69,10.8,16.5
Appalachian State,0.794,78.4,67.1,40.9,29.3,61.8,0.475,6.59,19.8,0.332,13.1,19.3,0.68,11,41.6,14.6,6.15,6.76,10.7,13.2
Arizona NCAA,0.75,87.1,72.1,40.7,31.2,64.5,0.484,7.89,21.6,0.366,16.8,23.4,0.717,13.1,42.6,18.5,8.33,3.69,11.9,16.4
Arizona State,0.438,69,74,40.2,24.7,59.4,0.416,6.72,22.4,0.3,12.9,19.7,0.655,8.41,33.3,12,8.22,3.66,10.5,16.6
Arkansas,0.485,77.8,79.8,40.6,26,57.5,0.453,6.03,18.9,0.318,19.7,26,0.756,8.52,34.5,11.7,6,6.09,12,19.8
Arkansas State,0.541,78.8,77,40.1,27.6,62.5,0.441,9.22,26.8,0.344,14.4,20.6,0.702,13.2,38.4,14.5,5.59,4.41,11.2,17.4
Arkansas-Pine Bluff,0.419,80.1,81.8,40,26.2,58.7,0.446,10.9,29,0.375,16.8,22,0.762,8.42,34.6,15.1,5.9,2.16,13.3,18.3
Army,0.313,60.3,64.3,40.5,22.1,54.6,0.405,7.88,24.6,0.32,8.25,14,0.588,9.63,34,12.5,5.75,3.94,12.2,15.8
Auburn NCAA,0.771,83.1,68.3,40,28.9,60.6,0.476,8,22.7,0.352,17.4,23.2,0.75,11.2,37.8,17.8,7.37,6.14,10.7,19.4
Austin Peay,0.543,74.8,73.2,40.7,26.9,60.1,0.447,7.91,21.9,0.361,13.1,18.6,0.706,10.8,33.9,11.1,7.14,2.71,8.8,17.6
Ball State,0.484,73.5,71,40.5,24.8,55.7,0.446,7.48,20.7,0.362,16.5,21.5,0.767,9.48,34.9,12.4,5.48,3.1,12.1,15.1
Baylor NCAA,0.686,80.4,71.1,40.9,27.6,57.2,0.483,8.6,22.1,0.389,16.5,22.6,0.732,11.4,35.1,14.7,6.74,3.14,12,16.5
Bellarmine,0.258,69.5,74.8,40.3,25.7,59.3,0.434,7.68,22.5,0.341,10.4,13.3,0.779,7.9,32.3,13.5,5.29,1.94,9.58,15.7
