School,G,W,L,W-L%,TmPts,OppPts,TmMP,TmFG,TmFGA,TmFG%,Tm3P,Tm3PA,Tm3P%,TmFT,TmFTA,TmFT%,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF
Abilene Christian,34,16,18,.471,2452,2500,1375,861,1987,.433,180,530,.340,550,757,.727,329,1139,431,262,72,434,665
Air Force,31,9,22,.290,2051,2243,1250,727,1604,.453,273,757,.361,324,475,.682,225,872,451,202,122,372,541
Akron NCAA,35,24,11,.686,2577,2316,1405,915,2018,.453,280,863,.324,467,642,.727,363,1278,455,197,100,394,583
Alabama NCAA,37,25,12,.676,3335,3006,1490,1136,2385,.476,413,1108,.373,650,842,.772,472,1467,587,256,162,438,734
Alabama A&M,35,12,23,.343,2414,2653,1405,806,1918,.420,148,516,.287,654,906,.722,394,1248,369,261,136,565,727
Alabama State,32,13,19,.406,2195,2221,1303,772,2087,.370,223,793,.281,428,592,.723,453,1265,345,277,123,361,609
Albany (NY),32,13,19,.406,2517,2521,1285,918,2059,.446,250,757,.330,431,594,.726,364,1153,411,266,101,425,621
Alcorn State,32,14,18,.438,2300,2477,1285,818,1851,.442,166,492,.337,498,699,.712,360,1086,371,220,56,370,567
American,32,16,16,.500,2200,2176,1291,782,1740,.449,279,794,.351,355,492,.722,287,1043,449,186,54,347,527
Appalachian State,34,27,7,.794,2665,2283,1390,997,2100,.475,224,674,.332,447,657,.680,373,1416,498,209,230,365,449
Arizona NCAA,36,27,9,.750,3137,2594,1465,1124,2321,.484,284,776,.366,605,844,.717,471,1533,665,300,133,430,590
Arizona State,32,14,18,.438,2209,2368,1285,791,1901,.416,215,716,.300,412,629,.655,269,1064,385,263,117,335,532
Arkansas,33,16,17,.485,2566,2633,1340,859,1898,.453,199,625,.318,649,859,.756,281,1139,387,198,201,395,655
Arkansas State,37,20,17,.541,2917,2850,1485,1021,2313,.441,341,991,.344,534,761,.702,489,1419,536,207,163,414,644
Arkansas-Pine Bluff,31,13,18,.419,2483,2536,1240,813,1821,.446,337,898,.375,520,682,.762,261,1073,467,183,67,413,568
Army,32,10,22,.313,1930,2059,1295,707,1747,.405,252,788,.320,264,449,.588,308,1088,401,184,126,389,506
Auburn NCAA,35,27,8,.771,2909,2391,1400,1010,2121,.476,280,795,.352,609,812,.750,393,1323,622,258,215,374,678
Austin Peay,35,19,16,.543,2619,2561,1425,941,2105,.447,277,768,.361,460,652,.706,378,1188,388,250,95,308,615
Ball State,31,15,16,.484,2280,2200,1255,769,1726,.446,232,641,.362,510,665,.767,294,1082,385,170,96,374,469
Baylor NCAA,35,24,11,.686,2814,2489,1430,967,2001,.483,301,773,.389,579,791,.732,399,1229,514,236,110,421,577
Bellarmine,31,8,23,.258,2153,2320,1250,797,1837,.434,238,698,.341,321,412,.779,245,1002,420,164,60,297,486
Belmont,33,20,13,.606,2570,2493,1325,922,1939,.476,301,811,.371,425,588,.723,237,1130,504,248,101,402,511
Bethune-Cookman,34,17,17,.500,2479,2467,1375,860,1994,.431,199,620,.321,560,742,.755,356,1139,414,351,117,471,696
Binghamton,30,15,15,.500,2163,2167,1210,801,1738,.461,164,536,.306,397,595,.667,313,1156,435,150,113,366,498
Boise State NCAA,33,22,11,.667,2479,2221,1330,858,1913,.449,258,759,.340,505,686,.736,384,1231,404,189,78,366,550
Boston College,36,20,16,.556,2667,2587,1450,982,2155,.456,299,826,.362,404,539,.750,338,1271,509,212,124,376,566
Boston University,33,16,17,.485,2193,2198,1335,768,1856,.414,254,763,.333,403,562,.717,309,1167,427,216,102,384,571
Bowling Green State,34,20,14,.588,2502,2414,1385,882,2045,.431,216,730,.296,522,730,.715,386,1292,383,221,96,392,533
Bradley,35,23,12,.657,2592,2348,1415,943,1999,.472,306,835,.366,400,550,.727,324,1214,463,250,144,423,578
Brigham Young NCAA,34,23,11,.676,2768,2378,1360,992,2155,.460,378,1087,.348,406,547,.742,405,1343,629,202,101,364,602
Brown,31,13,18,.419,2212,2227,1261,782,1818,.430,254,745,.341,394,603,.653,367,1154,417,196,131,385,519
Bryant,33,20,13,.606,2598,2488,1330,954,2087,.457,273,806,.339,417,623,.669,259,1246,487,230,213,393,557
Bucknell,33,14,19,.424,2153,2217,1335,758,1770,.428,269,795,.338,368,514,.716,276,1073,399,202,113,405,559
Buffalo,31,4,27,.129,2108,2471,1245,770,1830,.421,207,746,.277,361,504,.716,323,1082,415,188,141,450,484
Butler,33,18,15,.545,2544,2432,1350,922,2036,.453,276,778,.355,424,536,.791,308,1162,499,204,110,361,454
Cal Poly,32,4,28,.125,2037,2371,1295,719,1778,.404,198,598,.331,401,569,.705,283,1000,314,173,117,405,614
Cal State Bakersfield,32,13,19,.406,2199,2214,1295,807,1861,.434,150,476,.315,435,602,.723,382,1109,335,220,114,389,652
