School,OppMP,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
Abilene Christian,1215,727,1726,.421,200,653,.306,330,453,.728,291,1005,390,260,109,479,534
Air Force,1285,756,1711,.442,137,438,.313,472,622,.759,351,1236,334,255,119,614,464
Akron,1190,715,1686,.424,173,557,.311,314,455,.690,318,1052,402,226,96,434,486
Alabama NCAA,1360,792,2024,.391,158,541,.292,373,536,.696,429,1225,415,252,146,580,609
Alabama A&M,1250,682,1726,.395,144,441,.327,410,575,.713,346,1115,343,268,102,538,552
Alabama State,1160,748,1760,.425,138,453,.305,492,701,.702,427,1211,432,355,117,437,463
Albany (NY),1280,618,1652,.374,146,528,.277,259,370,.700,299,910,313,241,106,487,516
Alcorn State,1280,666,1787,.373,176,597,.295,507,764,.664,384,1170,374,313,86,465,563
American,1210,719,1686,.426,158,521,.303,384,536,.716,314,1090,373,251,93,498,500
Appalachian State,1285,865,2041,.424,184,551,.334,436,614,.710,422,1314,400,262,108,573,636
Arizona NCAA,1400,810,1908,.425,206,652,.316,411,604,.680,405,1217,457,248,116,669,563
Arizona State,1250,796,1858,.428,195,604,.323,386,549,.703,430,1300,492,165,151,464,489
Arkansas,1320,858,2146,.400,211,656,.322,344,476,.723,402,1439,462,209,109,485,597
Arkansas State,1210,715,1764,.405,191,633,.302,295,404,.730,338,1082,400,160,71,451,494
Arkansas-Pine Bluff,1327,766,2013,.381,173,594,.291,532,775,.686,416,1285,462,266,103,614,644
Army,1160,678,1531,.443,135,433,.312,315,436,.722,242,958,396,215,138,466,398
Auburn NCAA,1280,652,1717,.380,126,446,.283,452,622,.727,342,1165,290,241,109,656,592
Austin Peay,1335,701,1811,.387,172,530,.325,412,588,.701,334,1062,348,265,93,502,569
Ball State,1370,773,1870,.413,195,604,.323,331,478,.692,326,1183,429,231,78,657,579
Baylor NCAA,1360,775,1956,.396,156,594,.263,349,507,.688,303,1121,396,254,111,624,581
Bellarmine,1165,757,1748,.433,193,634,.304,468,638,.734,347,1155,354,218,88,497,538
Belmont,1400,817,2074,.394,194,665,.292,353,492,.717,387,1243,426,225,80,503,607
Bethune-Cookman,1255,670,1786,.375,135,528,.256,411,593,.693,391,1196,386,252,104,637,597
Binghamton,1240,696,1722,.404,131,432,.303,346,541,.640,369,1114,287,196,78,461,439
Boise State,1405,768,2081,.369,204,695,.294,323,453,.713,341,1225,404,259,137,487,596
Boston College,1326,855,1900,.450,170,560,.304,419,564,.743,402,1234,454,252,107,683,593
Boston University,1300,731,1927,.379,200,630,.317,309,423,.730,405,1101,427,245,86,431,562
Bowling Green State,1240,794,1841,.431,217,606,.358,364,492,.740,341,1072,442,196,96,407,533
Bradley,1285,906,2011,.451,199,609,.327,397,543,.731,389,1266,543,284,97,400,473
Brigham Young,1325,770,1968,.391,220,647,.340,409,560,.730,327,1110,402,254,111,404,560
Brown,1080,634,1610,.394,141,458,.308,259,370,.700,354,1068,335,204,103,447,423
Bryant,1205,687,1724,.398,165,555,.297,291,404,.720,313,1061,380,236,85,422,508
Bucknell,1245,724,1827,.396,168,573,.293,282,404,.698,346,1118,418,274,106,402,491
Buffalo,1325,760,1965,.387,213,786,.271,365,527,.693,408,1274,474,227,101,492,533
Butler,1280,774,1819,.426,184,565,.326,253,358,.707,307,1044,444,229,111,414,432
Cal Poly,1250,648,1633,.397,178,550,.324,410,582,.704,311,996,339,265,128,548,540
Cal State Bakersfield,1165,700,1671,.419,201,637,.316,342,483,.708,359,1211,391,192,74,459,424
Cal State Fullerton,1240,748,1778,.421,215,630,.341,316,433,.730,340,1116,412,300,90,501,449
Cal State Northridge,1210,751,1888,.398,236,769,.307,351,509,.690,415,1318,483,314,93,493,462
California,1370,839,1981,.424,183,533,.343,360,512,.703,384,1196,445,219,92,465,531
California Baptist NCAA,1305,804,2117,.380,268,920,.291,405,584,.693,378,1346,510,220,106,535,567
Campbell,1245,643,1733,.371,131,494,.265,290,418,.694,290,972,297,231,81,409,478
Canisius,1245,706,1739,.406,172,613,.281,331,454,.729,299,1023,384,242,111,416,507
Central Arkansas,1330,694,1891,.367,167,587,.284,393,585,.672,359,1170,326,224,83,490,504
Central Connecticut State,1205,720,1749,.412,164,534,.307,380,518,.734,405,1227,346,218,91,476,438
Central Michigan,1130,729,1801,.405,195,589,.331,354,485,.730,338,1025,392,294,75,368,476
Charleston Southern,1205,736,1838,.400,182,570,.319,344,485,.709,362,1096,376,277,72,478,480
Charlotte,1270,704,1822,.386,184,631,.292,361,511,.706,359,1100,418,259,109,561,616
Chattanooga NCAA,1320,644,1712,.376,124,463,.268,386,552,.699,290,1037,271,163,118,432,482
Chicago State,1095,818,1830,.447,178,565,.315,427,631,.677,429,1180,481,308,64,416,443
Cincinnati,1280,748,1844,.406,206,713,.289,410,563,.728,333,1108,439,218,121,470,618
Clemson,1254,832,1933,.430,220,686,.321,294,416,.707,365,1093,499,280,90,464,554
Cleveland State,1400,786,2037,.386,235,774,.304,342,473,.723,362,1157,492,255,125,595,686
Coastal Carolina,1325,831,2067,.402,241,738,.327,452,672,.673,479,1286,433,304,109,543,697
Colgate,1365,743,1811,.410,96,395,.243,312,465,.671,279,1023,376,237,68,476,564
College of Charleston,1285,732,1880,.389,195,676,.288,351,529,.664,382,1287,425,169,123,648,556
Colorado NCAA,1370,779,1904,.409,215,629,.342,412,541,.762,292,1108,391,220,150,576,504
Colorado State,1245,702,1894,.371,210,692,.303,284,406,.700,339,1255,389,158,41,410,424
Columbia NCAA,1200,703,1762,.399,163,515,.317,337,455,.741,318,956,398,180,85,448,485
Connecticut NCAA,1560,820,2301,.356,248,881,.281,343,479,.716,423,1288,458,213,92,664,639
Coppin State,1200,682,1705,.400,138,469,.294,292,418,.699,365,1161,341,231,99,496,493
Cornell,1040,639,1492,.428,155,494,.314,319,450,.709,297,972,388,212,89,397,472
Creighton NCAA,1280,752,1861,.404,164,539,.304,343,481,.713,314,1099,424,181,70,400,485
Dartmouth,1040,608,1513,.402,159,489,.325,144,217,.664,298,951,345,195,61,325,352
Davidson,1040,516,1367,.377,107,361,.296,301,411,.732,271,840,204,162,58,405,420
Dayton,1245,782,1788,.437,193,535,.361,378,557,.679,303,1002,407,237,117,441,488
Delaware,1245,759,1885,.403,203,602,.337,339,502,.675,340,1132,445,243,110,522,533
Delaware State,1130,762,1726,.441,187,582,.321,271,401,.676,365,1091,449,265,91,484,454
Denver,1200,778,1738,.448,160,477,.335,374,480,.779,291,1089,382,172,67,392,526
DePaul,1290,837,1926,.435,225,629,.358,385,532,.724,324,1227,492,220,101,558,454
Detroit Mercy,1325,740,1927,.384,199,648,.307,415,575,.722,341,1089,371,307,90,444,561
Drake NCAA,1415,939,2261,.415,260,764,.340,312,422,.739,332,1087,506,296,120,534,654
Drexel NCAA,1368,714,1785,.400,158,512,.309,314,440,.714,360,1151,395,227,112,550,450
Duke NCAA,1375,700,1894,.370,167,528,.316,400,580,.690,368,1076,331,281,98,576,516
Duquesne,1380,809,2075,.390,243,709,.343,416,558,.746,370,1238,454,215,116,458,557
East Carolina,1341,738,1911,.386,194,620,.313,403,593,.680,477,1287,473,298,81,697,604
East Tennessee State,1200,611,1627,.376,176,555,.317,271,408,.664,326,1034,287,187,70,443,496
Eastern Illinois,1350,844,2055,.411,207,614,.337,342,479,.714,384,1211,483,314,90,480,508
Eastern Kentucky,1360,776,1918,.405,183,590,.310,442,615,.719,314,1198,393,252,120,626,657
Eastern Michigan,1170,710,1684,.422,193,569,.339,345,484,.713,327,1082,405,252,74,457,459
Eastern Washington NCAA,1405,715,1931,.370,163,572,.285,372,494,.753,349,1257,356,237,100,597,485
Elon,1280,700,1787,.392,176,602,.292,387,531,.729,383,1240,401,243,105,534,462
Evansville,1300,961,2049,.469,186,614,.303,487,664,.733,357,1319,511,335,144,473,641
Fairfield NCAA,1330,634,1755,.361,162,576,.281,390,569,.685,328,1042,339,255,70,629,555
FDU,1245,693,1756,.395,151,498,.303,354,458,.773,338,1072,372,224,79,413,493
Florida,1285,798,1948,.410,184,557,.330,502,700,.717,428,1271,383,217,110,570,569
Florida A&M,1220,723,1745,.414,163,518,.315,492,695,.708,429,1167,399,266,105,555,558
Florida Atlantic,1205,745,1865,.399,188,575,.327,291,411,.708,417,1155,419,239,108,413,512
Florida Gulf Coast NCAA,1360,696,1730,.402,146,484,.302,333,495,.673,279,1031,280,185,93,630,643
Florida International,1320,764,1909,.400,176,597,.295,413,639,.646,380,1176,360,281,114,610,627
Florida State NCAA,1380,944,2393,.394,219,711,.308,323,457,.707,482,1505,492,182,118,501,593
Fordham,1165,654,1615,.405,215,616,.349,280,382,.733,306,1016,397,219,69,516,407
Fresno State,1320,765,1748,.438,188,529,.355,361,509,.709,291,1124,374,205,118,552,480
Furman,1240,760,1867,.407,173,604,.286,293,445,.658,336,1053,385,252,125,451,534
Gardner-Webb,1198,818,1861,.440,187,600,.312,478,676,.707,394,1225,435,245,83,434,457
George Mason,1250,660,1732,.381,177,614,.288,323,476,.679,344,1138,344,185,89,582,557
George Washington,1240,642,1654,.388,156,506,.308,364,526,.692,294,1051,314,277,111,480,466
