School,OppMP,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
Abilene Christian,40.5,24.2,57.5,0.421,6.67,21.8,0.306,11,15.1,0.728,9.7,33.5,13,8.67,3.63,16,17.8
Air Force,40.2,23.6,53.5,0.442,4.28,13.7,0.313,14.8,19.4,0.759,11,38.6,10.4,7.97,3.72,19.2,14.5
Akron,41,24.7,58.1,0.424,5.97,19.2,0.311,10.8,15.7,0.69,11,36.3,13.9,7.79,3.31,15,16.8
Alabama NCAA,40,23.3,59.5,0.391,4.65,15.9,0.292,11,15.8,0.696,12.6,36,12.2,7.41,4.29,17.1,17.9
Alabama A&M,40.3,22,55.7,0.395,4.65,14.2,0.327,13.2,18.5,0.713,11.2,36,11.1,8.65,3.29,17.4,17.8
Alabama State,40,25.8,60.7,0.425,4.76,15.6,0.305,17,24.2,0.702,14.7,41.8,14.9,12.2,4.03,15.1,16
Albany (NY),40,19.3,51.6,0.374,4.56,16.5,0.277,8.09,11.6,0.7,9.34,28.4,9.78,7.53,3.31,15.2,16.1
Alcorn State,40,20.8,55.8,0.373,5.5,18.7,0.295,15.8,23.9,0.664,12,36.6,11.7,9.78,2.69,14.5,17.6
American,40.3,24,56.2,0.426,5.27,17.4,0.303,12.8,17.9,0.716,10.5,36.3,12.4,8.37,3.1,16.6,16.7
Appalachian State,40.2,27,63.8,0.424,5.75,17.2,0.334,13.6,19.2,0.71,13.2,41.1,12.5,8.19,3.38,17.9,19.9
Arizona NCAA,41.2,23.8,56.1,0.425,6.06,19.2,0.316,12.1,17.8,0.68,11.9,35.8,13.4,7.29,3.41,19.7,16.6
Arizona State,40.3,25.7,59.9,0.428,6.29,19.5,0.323,12.5,17.7,0.703,13.9,41.9,15.9,5.32,4.87,15,15.8
Arkansas,40,26,65,0.4,6.39,19.9,0.322,10.4,14.4,0.723,12.2,43.6,14,6.33,3.3,14.7,18.1
Arkansas State,40.3,23.8,58.8,0.405,6.37,21.1,0.302,9.83,13.5,0.73,11.3,36.1,13.3,5.33,2.37,15,16.5
Arkansas-Pine Bluff,40.2,23.2,61,0.381,5.24,18,0.291,16.1,23.5,0.686,12.6,38.9,14,8.06,3.12,18.6,19.5
