School,W-L%,TmPts,OppPts,TmMP,TmFG,TmFGA,TmFG%,Tm3P,Tm3PA,Tm3P%,TmFT,TmFTA,TmFT%,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF
Abilene Christian,0.467,69.9,66.1,40.5,24.6,60,0.411,8.6,28.2,0.305,12.1,16.8,0.718,13.1,38,14.2,7.67,1.8,16.1,16.4
Air Force,0.469,63.3,66.3,40.2,23.4,61.3,0.382,6.41,20.6,0.311,10,13.3,0.753,11.5,32.2,12.4,10.8,2.22,14.8,18.9
Akron,0.379,62.3,66.1,41,22.6,58.4,0.387,5.93,20.3,0.292,11.1,15.5,0.719,12.1,36.7,12.2,6.03,2.59,16.3,15.7
Alabama NCAA,0.706,73.1,62.2,40,26.2,60.4,0.434,7.32,20.9,0.35,13.4,18.8,0.712,13.3,38.9,13,8.41,4.5,15.1,15.7
Alabama A&M,0.484,61.7,61.9,40.3,22.7,59.2,0.383,3.97,14.2,0.28,12.4,18,0.689,13.8,38.6,11.2,8.03,2.97,17.5,16.5
Alabama State,0.103,49.3,73.4,40,17.8,53.5,0.333,4,16.3,0.245,9.69,15.1,0.642,10.7,33.2,10,6.93,3.93,22.9,20.8
Albany (NY),0.781,60.9,51.3,40,22.4,51.8,0.432,5.5,15.1,0.364,10.7,14.7,0.724,11,34.4,13.4,7.34,3.75,15.5,13.1
Alcorn State,0.375,54.1,63,40,19.5,53.5,0.364,3.34,13.6,0.245,11.8,18.4,0.642,10,35.2,11.5,7.59,3.19,17.8,19.4
American,0.333,60.8,66,40.3,22.9,57.1,0.4,4.2,16.3,0.258,10.8,15.8,0.687,10.1,33.6,14.2,8.27,1.57,16.5,17.9
Appalachian State,0.531,72.2,73.4,40.2,24.8,64.1,0.387,7.41,24,0.308,15.1,22,0.685,13.8,39.1,12.8,9.09,2.97,17.6,18.7
Arizona NCAA,0.529,69.9,65.8,41.2,26.3,59.5,0.441,4.35,13.8,0.315,13,17.4,0.748,10.5,32.3,14.5,11.7,3.88,15,18.9
Arizona State,0.355,61.5,70.1,40.3,22.5,59.7,0.378,4.52,14,0.323,11.8,17.4,0.682,11.1,33.6,9.71,7.19,2.35,12.4,18.3
Arkansas,0.545,69.5,68.8,40,23.6,63.1,0.374,8.73,29.4,0.297,13.5,18.8,0.721,9.76,37.7,10.8,6.18,5.21,12.7,14.4
Arkansas State,0.433,66.3,63.9,40.3,23.1,57.7,0.401,6.63,21.6,0.307,13.4,17.8,0.755,11.1,36.4,11.2,7.53,2.23,13.7,15.3
Arkansas-Pine Bluff,0.515,73,67.8,40.2,26.4,63.5,0.415,5.88,19.6,0.3,14.4,22.6,0.637,13.5,40.5,15.5,10,4.36,16.4,21
Army,0.414,59.2,62.3,40,21.6,59,0.366,5.31,18.5,0.287,10.7,14.8,0.727,12.2,33.6,10.9,8.79,2.28,14.4,17.2
Auburn NCAA,0.625,66.4,58.8,40,24.7,60.9,0.405,3.75,13,0.288,13.3,18.9,0.704,12.5,37.1,12.8,10.4,4,15.5,18.5
Austin Peay,0.515,62.3,60.2,40.5,22.8,51.7,0.442,4.27,13.9,0.307,12.2,17.7,0.691,8.88,34.2,11.7,6.42,4.03,17,18.2
Ball State,0.824,72.7,60.9,40.3,26,58.6,0.444,8.06,24.6,0.328,12.6,17.8,0.71,9.18,33.5,15.6,10.5,3.32,14.3,15.9
Baylor NCAA,0.765,74.8,60.4,40,28.1,63.5,0.443,7.62,22.8,0.335,10.9,15.6,0.699,12.8,40.3,18.1,9.21,2.56,15.7,17
Bellarmine,0.345,67.2,75,40.2,24,62.4,0.385,5.93,20.8,0.286,13.2,18.3,0.725,12.1,37,13.8,8.17,2.17,16.1,21
Belmont,0.743,70.6,62.3,40,25.1,56.6,0.443,7.97,23.1,0.345,12.4,17.5,0.71,9.6,36,15.8,8.06,3.8,14.5,15.8
Bethune-Cookman,0.484,66.4,60.8,40.5,23.7,61.9,0.383,3.65,14.5,0.252,15.3,23.3,0.657,14.4,39.1,13.5,10.9,2.42,16.2,17.5
Binghamton,0.452,61.9,60.3,40,23.4,55.4,0.422,6.55,19.6,0.334,8.61,11.9,0.726,8.68,32.4,13.4,6.52,3.16,14,16.8
Boise State,0.6,64,58.9,40.1,23.2,58.2,0.399,6.6,19.2,0.344,11,16.4,0.674,11.8,40.5,14.6,6.63,6.17,15.1,15.1
Boston College,0.424,71,69.7,40.2,27,63.9,0.423,4.58,16.5,0.277,12.3,18.1,0.682,13.8,35,14.9,11.6,2.64,15.7,18.3
Boston University,0.625,62.6,61.6,40.6,23,52.1,0.441,6.13,17.3,0.354,10.6,15.1,0.7,7.91,32.8,14.5,7.22,4.94,16,14.1
Bowling Green State,0.516,67.4,70,40,24.5,56.2,0.436,6.9,20.5,0.338,11.5,16.3,0.704,10.4,34.9,14.3,6.23,2.77,15.2,16.9
Bradley,0.188,60.2,75.3,40.2,22.1,55.4,0.399,5.78,18.3,0.315,10.2,14.2,0.718,7.5,31.2,12.3,5.47,1.88,16.3,16
Brigham Young,0.485,65.4,65.7,40.2,24.1,55.6,0.434,6.94,19.2,0.362,10.2,16.4,0.622,10.8,39.2,15.3,5.58,3.73,17,17.1
Brown,0.593,63.1,61.8,40,23,58.7,0.392,7.15,24.3,0.295,9.96,14.7,0.679,10.9,34.5,11.6,8.41,3.74,15.3,15.9
Bryant,0.5,60.6,61,40.2,22.3,54.8,0.408,6.13,19.2,0.319,9.77,15.9,0.614,10.6,36.3,13.3,6.27,2.73,16,14.9
Bucknell,0.419,55.9,61.2,40.2,20.1,51.5,0.39,3.97,13.9,0.285,11.8,16,0.738,7.42,32.5,11,6.13,3.65,15.3,14.1
Buffalo,0.576,65.9,63.6,40.2,23.9,57.7,0.414,5.67,18.1,0.313,12.5,16.9,0.738,9.79,36.1,13.2,7.12,2.03,13.9,18.4
Butler,0.469,62.5,62,40,23.2,55.3,0.42,8.31,21.7,0.383,7.78,10.9,0.716,9.31,32.8,15,6.06,2.38,14.5,12.7
Cal Poly,0.548,60.6,60.8,40.3,21.7,53.4,0.407,5.29,15.9,0.333,11.8,15.8,0.745,11.2,35.3,12.5,9.19,3.84,19,19.5
Cal State Bakersfield,0.276,58.7,67,40.2,21.4,58.7,0.365,7.48,24.3,0.307,8.34,12.2,0.682,9.07,32.3,10.4,7.62,2.55,13.5,16.7
Cal State Fullerton,0.323,59,65.4,40,22.1,56.2,0.393,5,16.6,0.302,9.77,12.8,0.761,10.2,33.6,13.3,8.16,3.1,16.8,14.8
Cal State Northridge,0.1,55.2,69.6,40.3,20.2,58.4,0.345,4.47,17.5,0.256,10.4,15.5,0.67,10.3,36.2,10.8,8.83,3.63,17.9,17.5
California,0.559,66.2,65.3,40.3,23.8,59.4,0.4,8.29,25.9,0.32,10.3,13.7,0.753,12.9,36.9,13.9,6.88,2.79,14.9,16.6
California Baptist NCAA,0.875,80.3,71.3,40.8,27.7,66.3,0.417,9.72,29.9,0.325,15.2,20.4,0.743,10.5,42.2,18.9,9.75,1.59,14.2,18.8
Campbell,0.548,60.8,55.1,40.2,22.5,53.2,0.424,6.87,21.3,0.323,8.81,13.3,0.664,10.2,37.1,13.3,5.9,3.35,16.8,13.8
Canisius,0.548,60.6,61.8,40.2,21.7,54.8,0.396,7.39,21.8,0.338,9.9,14.7,0.673,11.4,36,13.2,5.81,1.84,16.7,16.6
Central Arkansas,0.636,65.7,59,40.3,24.3,57,0.426,6.18,19.8,0.311,11,15.7,0.7,10.1,37.9,10.3,7.36,3.58,15.2,16.2
Central Connecticut State,0.3,57.9,66.1,40.2,22.2,57.8,0.383,3.83,15.6,0.246,9.7,12.8,0.758,9.1,31.7,11.3,6.87,2.33,14.1,17.1
Central Michigan,0.214,61.5,71.7,40.4,22.9,59.4,0.386,5.54,19.5,0.284,10.1,15.8,0.64,14.1,42.3,11.6,6.25,3.82,20.9,17.9
Charleston Southern,0.367,61,66.6,40.2,23.1,58.9,0.392,4.67,15.9,0.293,10.2,14.8,0.685,12.8,39.2,11.4,6.87,3.03,19.9,16.7
Charlotte,0.516,64.5,63,41,22,56.2,0.392,5.23,16.6,0.314,15.2,20.5,0.742,11.6,37.4,12.2,8.74,3.42,18.1,17.8
Chattanooga NCAA,0.848,64.2,54.5,40,22.7,50.9,0.446,6.36,17.2,0.37,12.5,16.2,0.772,7.03,32,9.7,5.79,2,12.4,16.3
Chicago State,0.037,59,83,40.6,22.2,60.5,0.367,2.52,10.8,0.233,12.1,16.6,0.728,11.8,36.4,10.7,6.19,5,21.1,20.7
Cincinnati,0.438,62.4,66,40,20.9,58.6,0.357,4.59,16.2,0.284,15.9,22,0.724,14.5,39.7,9.22,6.63,3.34,16.3,17.7
Clemson,0.387,69.6,70.3,40.5,25.1,58.3,0.431,6.87,21.6,0.318,12.5,17.3,0.721,11.4,36.3,14.3,7.68,1.68,16.9,15.6
Cleveland State,0.829,74.3,61.4,40,26.4,57,0.463,5.46,15,0.364,16.1,22.7,0.707,10.8,37.3,13.4,9.34,2.86,14.6,15.6
Coastal Carolina,0.364,66.6,71.4,40.2,23.7,59.3,0.399,4.33,15.6,0.278,14.9,22.9,0.65,14.3,40.5,11,7.76,3.79,19.2,19.1
Colgate,0.588,61.8,55.7,40.1,23.3,53.9,0.431,3.88,11.2,0.346,11.4,15.4,0.742,9.56,34.5,14.3,5.85,2.35,13.5,14.2
College of Charleston,0.688,75.3,62.8,40.2,27.4,68.4,0.401,7.88,23.2,0.34,12.7,17.4,0.728,14.8,41.3,12.6,10.3,2.16,13.3,16.3
Colorado NCAA,0.706,75.2,64.3,40.3,28.4,62.1,0.457,6.74,19.1,0.353,11.6,16.1,0.721,11.6,37.3,18.6,10.1,2.91,13.9,17.5
Colorado State,0.645,68.6,61.2,40.2,25.6,57.9,0.443,8.32,23.1,0.361,9.06,11.5,0.785,3.58,32.5,14.6,5.65,4.65,9.13,12.3
Columbia NCAA,0.767,75.7,63.5,40,27.9,61.7,0.453,7.93,24.4,0.326,11.9,16.7,0.713,14.4,39.8,16.7,7.3,2.27,15,17.3
Connecticut NCAA,0.846,79.7,57.2,40,30.6,61.6,0.496,7.15,19.7,0.362,11.4,15.3,0.744,10,38.5,19.6,10.2,3.87,12.9,14.4
Coppin State,0.4,55.3,59.8,40,19.4,55.7,0.348,5.47,20.5,0.266,11.1,17.8,0.622,12.1,35.6,9.73,7.93,2.27,16.4,14.4
Cornell,0.269,56,67.4,40,21,56,0.375,2.69,11,0.246,11.3,16.1,0.706,10.4,33.5,10.7,6.35,1.46,16.2,18.5
Creighton NCAA,0.813,73.4,62.8,40,26.8,60.2,0.446,8.94,25,0.358,10.9,13.2,0.827,9.34,35.6,17.3,6.5,3.72,10.8,14.9
Dartmouth,0.269,48.5,58.4,40,18.3,51.5,0.355,5,17,0.293,6.96,10.2,0.683,8.81,33,10.4,5.54,2.54,15.9,10.8
Davidson,0.692,65,55.4,40,24.1,55.1,0.438,6.31,18.9,0.334,10.4,14.4,0.725,10.7,34.4,11.5,6.92,4.35,14,16.5
Dayton,0.387,63.5,68.9,40.2,24.4,60.8,0.401,4.42,15.3,0.289,10.3,14.2,0.729,14.8,39.5,12.6,6.03,2.58,18.1,17.7
Delaware,0.355,67.4,66.5,40.2,24.8,60,0.413,5.97,20.1,0.297,11.8,16.6,0.714,11.6,38.9,13,7.77,2.71,17.6,17.8
Delaware State,0.286,57.5,70.8,40.4,20.8,57.5,0.361,5.21,17.8,0.294,10.8,16.1,0.67,11.4,33.8,10.3,8.11,2.18,18.7,14.3
