School,W,L,W-L%,TmPts,OppPts,TmMP,TmFG,TmFGA,TmFG%,Tm3P,Tm3PA,Tm3P%,TmFT,TmFTA,TmFT%,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF
Abilene Christian,14,16,.467,2098,1984,1215,739,1799,.411,258,847,.305,362,504,.718,392,1141,427,230,54,482,491
Air Force,15,17,.469,2025,2121,1285,750,1963,.382,205,660,.311,320,425,.753,368,1031,396,347,71,473,604
Akron,11,18,.379,1807,1917,1190,656,1693,.387,172,590,.292,323,449,.719,351,1064,355,175,75,472,454
Alabama NCAA,24,10,.706,2487,2115,1360,892,2054,.434,249,711,.350,454,638,.712,451,1322,441,286,153,512,535
Alabama A&M,15,16,.484,1914,1918,1250,703,1835,.383,123,439,.280,385,559,.689,429,1196,346,249,92,542,510
Alabama State,3,26,.103,1431,2128,1160,517,1551,.333,116,473,.245,281,438,.642,311,963,290,201,114,665,604
Albany (NY),25,7,.781,1949,1641,1280,716,1659,.432,176,483,.364,341,471,.724,353,1100,428,235,120,495,420
Alcorn State,12,20,.375,1731,2015,1280,623,1711,.364,107,436,.245,378,589,.642,321,1125,369,243,102,569,621
American,10,20,.333,1823,1980,1210,686,1713,.400,126,488,.258,325,473,.687,304,1008,426,248,47,496,538
Appalachian State,17,15,.531,2310,2350,1285,795,2052,.387,237,769,.308,483,705,.685,440,1251,410,291,95,564,598
Arizona NCAA,18,16,.529,2376,2237,1400,893,2023,.441,148,470,.315,442,591,.748,357,1097,493,398,132,510,641
Arizona State,11,20,.355,1905,2173,1250,699,1851,.378,140,434,.323,367,538,.682,344,1043,301,223,73,383,567
Arkansas,18,15,.545,2292,2271,1320,779,2081,.374,288,969,.297,446,619,.721,322,1244,356,204,172,418,474
Arkansas State,13,17,.433,1990,1916,1210,694,1730,.401,199,648,.307,403,534,.755,334,1091,336,226,67,410,459
Arkansas-Pine Bluff,17,16,.515,2409,2237,1327,870,2096,.415,194,646,.300,475,746,.637,446,1338,511,330,144,541,694
