"","Team","G","W","L","W-L%","TmPts","OppPts","TmMP","TmFG","TmFGA","TmFG%","Tm3P","Tm3PA","Tm3P%","TmFT","TmFTA","TmFT%","TmORB","TmTRB","TmAST","TmSTL","TmBLK","TmTOV","TmPF","OppMP","OppFG","OppFGA","OppFG%","Opp3P","Opp3PA","Opp3P%","OppFT","OppFTA","OppFT%","OppORB","OppTRB","OppAST","OppSTL","OppBLK","OppTOV","OppPF","TmPoss","OppPoss","TmOffRtg","TmDefRtg","TmNetRtg","TmeFG","OppeFG","TmFTRte","OppFTRte","TmTOVRte","OppTOVRte","TmDRB","OppDRB","ORBRte","DRBRte"
"1","Abilene Christian",34,16,18,0.471,2452,2500,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665,1375,888,1923,0.462,199,613,0.325,525,766,0.685,342,1251,420,227,113,495,642,2425.08,2409.08,101.110066472034,103.774054825909,-2.66398835387474,0.478610971313538,0.513520540821633,0.276799194765979,0.273010920436817,0.178963168225378,0.205472628555299,810,909,0.265751211631664,0.703125
"2","Air Force",31,9,22,0.29,2051,2243,1250,727,1604,0.453,273,757,0.361,324,475,0.682,225,872,451,202,122,372,541,1250,774,1631,0.475,219,598,0.366,476,637,0.747,297,1016,386,178,96,348,495,1960,1891,104.642857142857,118.614489687996,-13.9716325451386,0.538341645885287,0.541692213366033,0.201995012468828,0.291845493562232,0.189795918367347,0.184029613960867,647,719,0.238347457627119,0.685381355932203
"3","Akron NCAA",35,24,11,0.686,2577,2316,1405,915,2018,0.453,280,863,0.324,467,642,0.727,363,1278,455,197,100,394,583,1405,853,1985,0.43,224,738,0.304,386,561,0.688,309,1134,391,205,87,404,599,2331.48,2362.48,110.53065005919,98.0325759371508,12.4980741220391,0.522794846382557,0.486146095717884,0.231417244796829,0.194458438287154,0.1689913702884,0.171006738681386,915,825,0.305555555555556,0.747549019607843
"4","Alabama NCAA",37,25,12,0.676,3335,3006,1490,1136,2385,0.476,413,1108,0.373,650,842,0.772,472,1467,587,256,162,438,734,1490,1028,2351,0.437,277,873,0.317,673,912,0.738,446,1324,472,273,163,418,739,2721.48,2693.48,122.543615973661,111.602833509066,10.940782464595,0.562893081761006,0.49617184176946,0.272536687631027,0.286261165461506,0.160941840469156,0.155189568884863,995,878,0.34962962962963,0.690492713393477
"5","Alabama A&M",35,12,23,0.343,2414,2653,1405,806,1918,0.42,148,516,0.287,654,906,0.722,394,1248,369,261,136,565,727,1405,856,2010,0.426,261,742,0.352,680,908,0.749,415,1258,463,331,114,492,701,2487.64,2485.64,97.0397645961634,106.733074781545,-9.69331018538178,0.45881126173097,0.490796019900498,0.340980187695516,0.338308457711443,0.227122895595826,0.19793694983988,854,843,0.318512530315279,0.672970843183609
"6","Alabama State",32,13,19,0.406,2195,2221,1303,772,2087,0.37,223,793,0.281,428,592,0.723,453,1265,345,277,123,361,609,1303,721,1751,0.412,245,726,0.337,534,736,0.726,317,1260,385,196,152,468,514,2255.48,2162.48,97.3185308670438,102.706152195627,-5.38762132858342,0.423334930522281,0.481724728726442,0.205079060852899,0.304968589377499,0.160054622519375,0.216418186526581,812,943,0.324498567335244,0.719220549158547
"7","Albany (NY)",32,13,19,0.406,2517,2521,1285,918,2059,0.446,250,757,0.33,431,594,0.726,364,1153,411,266,101,425,621,1285,907,1944,0.467,167,576,0.29,540,744,0.726,323,1152,420,235,149,415,499,2381.36,2297.36,105.695904861088,109.734651948323,-4.03874708723551,0.506556580864497,0.50951646090535,0.209324915007285,0.277777777777778,0.17846944603084,0.180642128356026,789,829,0.305113160100587,0.709532374100719
"8","Alcorn State",32,14,18,0.438,2300,2477,1285,818,1851,0.442,166,492,0.337,498,699,0.712,360,1086,371,220,56,370,567,1285,841,1818,0.463,311,828,0.376,484,666,0.727,316,1028,500,203,129,378,572,2168.56,2187.56,106.061165012727,113.231179944779,-7.17001493205134,0.486763911399244,0.548129812981298,0.26904376012966,0.266226622662266,0.170620135020474,0.172795260472856,726,712,0.335820895522388,0.696737044145873
"9","American",32,16,16,0.5,2200,2176,1291,782,1740,0.449,279,794,0.351,355,492,0.722,287,1043,449,186,54,347,527,1291,776,1706,0.455,272,733,0.371,352,508,0.693,255,979,403,160,78,345,515,2016.48,2012.48,109.10100769658,108.125298139609,0.975709556971339,0.529597701149425,0.534583821805393,0.204022988505747,0.206330597889801,0.172082043957788,0.171430275083479,756,724,0.283877349159248,0.747774480712166
"10","Appalachian State",34,27,7,0.794,2665,2283,1390,997,2100,0.475,224,674,0.332,447,657,0.68,373,1416,498,209,230,365,449,1390,865,2225,0.389,226,732,0.309,327,472,0.693,393,1236,349,234,84,356,556,2381.08,2477.08,111.924000873553,92.1649684305715,19.7590324429817,0.528095238095238,0.439550561797753,0.212857142857143,0.146966292134831,0.153291783560401,0.143717602984159,1043,843,0.306743421052632,0.726323119777159
"11","Arizona NCAA",36,27,9,0.75,3137,2594,1465,1124,2321,0.484,284,776,0.366,605,844,0.717,471,1533,665,300,133,430,590,1465,949,2252,0.421,281,853,0.329,415,583,0.712,323,1175,496,250,132,483,684,2651.36,2783.36,118.316637499246,93.1967118877903,25.1199256114554,0.545454545454545,0.483792184724689,0.260663507109005,0.184280639431616,0.162180918472029,0.17353127155668,1062,852,0.356009070294785,0.766787003610108
"12","Arizona State",32,14,18,0.438,2209,2368,1285,791,1901,0.416,215,716,0.3,412,629,0.655,269,1064,385,263,117,335,532,1285,850,1887,0.45,251,740,0.339,417,589,0.708,338,1298,490,186,85,439,535,2243.76,2264.76,98.4508147038899,104.558540419294,-6.10772571540397,0.472645975802209,0.516958134605193,0.216728037874803,0.220985691573927,0.149302955752843,0.193839523834755,795,960,0.218877135882832,0.701676963812886
